name,prompt,negative_prompt
Illustrious,"masterpiece, best quality, very aesthetic, absurdres, high resolution, ultra detailed, detailed textures, photorealistic,","worst quality, low quality, bad quality, lowres, jpeg artifacts, grainy, pixelated, blurry, (plastic texture:1.3), bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, poorly drawn hands, poorly drawn face, signature, watermark, text, logo"
Pony,"score_9, score_8_up, score_7_up, absurdres, high resolution, ultra detailed, detailed textures, photorealistic, detailed skin, ","source_pony, source_furry, source_anime, source_cartoon, worst quality, low quality, normal quality, lowres, 2d, 3d, doll, plastic, jpeg artifacts, grainy, pixelated, blurry, sketch, drawing, bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, cropped, poorly drawn hands, poorly drawn face, signature, watermark, text, logo"
SD15,"masterpiece, best quality, (photorealistic:1.2), ultra-detailed, 8K, UHD, absurdres, high resolution, ultra detailed, detailed textures, 1girl, solo, ","(worst quality:1.8), (low quality:1.8), (bad quality:1.8), lowres, jpeg artifacts, grainy, pixelated, blurry, sketch, drawing, painting, bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, cropped, poorly drawn hands, poorly drawn face,  signature, watermark, text, logo"
Prompt,"(masterpiece, best quality, photorealistic, high detailed skin:1.2), RAW photo, 8k uhd, dslr, soft lighting, high quality, film grain, 1girl, solo,",
Negative,,"badhandv5, ng_deepnegative_v1_75t , verybadimagenegative_v1.3, (worst quality:2), (low quality:2), (normal quality:2), (watermark:1.4), ((monochrome)), ((grayscale)), jpeg artifacts, bad anatomy, signature, mole, freckles, lowres, sketch, disfigured, bad hands, deformed hands, poorly drawn face, cropped, "
Pony Prompt,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl,",
Pony Negative,,"score_4, score_5, score_6, worst quality, low quality, normal quality, jpeg artifacts,signature, watermark, bad anatomy, sketch, 2d, 3d, doll, plastic, monochrome, grayscale, lowres, bad hands, deformed hands, disfigured, ugly, poorly drawn face, close up, head out of frame, cropped, mole, freckles, "
Pony-001,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, office lady, big breasts, pink collared shirt, necktie, leather skirt, thick thighs, sitting, crossed legs, ",
Pony-002,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, only top bikini, cow print, hawaiian shirt, pink shirt, black shorts, open clothes, beach, sunglasses, ",
Pony-003,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, hair slicked back, focus upper body, microbikini, latex bikini, ",
